Time[s], SBUS, 自研422+, 自研422-, 淘宝422+, 淘宝422-
0.00000000, 0, 1, 0, 1, 0
0.00119345, 0, 0, 0, 1, 0
0.00119349, 0, 0, 1, 1, 0
0.00119361, 1, 0, 1, 1, 0
0.00120319, 0, 0, 1, 1, 0
0.00120348, 0, 0, 0, 1, 0
0.00120352, 0, 1, 0, 1, 0
0.00124344, 0, 0, 0, 1, 0
0.00124347, 0, 0, 1, 1, 0
0.00124360, 1, 0, 1, 1, 0
0.00129319, 0, 0, 1, 1, 0
0.00129348, 0, 0, 0, 1, 0
0.00129351, 0, 1, 0, 1, 0
0.00129352, 0, 0, 0, 1, 0
0.00129353, 0, 1, 0, 1, 0
0.00131344, 0, 0, 0, 1, 0
0.00131347, 0, 0, 1, 1, 0
0.00131359, 1, 0, 1, 1, 0
0.00137318, 0, 0, 1, 1, 0
0.00137346, 0, 0, 0, 1, 0
0.00137352, 0, 1, 0, 1, 0
0.00143344, 0, 0, 0, 1, 0
0.00143346, 0, 0, 1, 1, 0
0.00143361, 1, 0, 1, 1, 0
0.00144318, 0, 0, 1, 1, 0
0.00144347, 0, 0, 0, 1, 0
0.00144351, 0, 1, 0, 1, 0
0.00146343, 0, 0, 0, 1, 0
0.00146347, 0, 0, 1, 1, 0
0.00146361, 1, 0, 1, 1, 0
0.00148318, 0, 0, 1, 1, 0
0.00148347, 0, 0, 0, 1, 0
0.00148351, 0, 1, 0, 1, 0
0.00149343, 0, 0, 0, 1, 0
0.00149346, 0, 0, 1, 1, 0
0.00149361, 1, 0, 1, 1, 0
0.00150318, 0, 0, 1, 1, 0
0.00150347, 0, 0, 0, 1, 0
0.00150351, 0, 1, 0, 1, 0
0.00151343, 0, 0, 0, 1, 0
0.00151346, 0, 0, 1, 1, 0
0.00151360, 1, 0, 1, 1, 0
0.00153317, 0, 0, 1, 1, 0
0.00153347, 0, 0, 0, 1, 0
0.00153351, 0, 1, 0, 1, 0
0.00155342, 0, 0, 0, 1, 0
0.00155346, 0, 0, 1, 1, 0
0.00155358, 1, 0, 1, 1, 0
0.00158318, 0, 0, 1, 1, 0
0.00158347, 0, 0, 0, 1, 0
0.00158351, 0, 1, 0, 1, 0
0.00160343, 0, 0, 0, 1, 0
0.00160346, 0, 0, 1, 1, 0
0.00160360, 1, 0, 1, 1, 0
0.00165317, 0, 0, 1, 1, 0
0.00165345, 0, 0, 0, 1, 0
0.00165350, 0, 1, 0, 1, 0
0.00167342, 0, 0, 0, 1, 0
0.00167345, 0, 0, 1, 1, 0
0.00167359, 1, 0, 1, 1, 0
0.00172317, 0, 0, 1, 1, 0
0.00172346, 0, 0, 0, 1, 0
0.00172351, 0, 1, 0, 1, 0
0.00174341, 0, 0, 0, 1, 0
0.00174345, 0, 0, 1, 1, 0
0.00174357, 1, 0, 1, 1, 0
0.00177317, 0, 0, 1, 1, 0
0.00177346, 0, 0, 0, 1, 0
0.00177351, 0, 1, 0, 1, 0
0.00179342, 0, 0, 0, 1, 0
0.00179346, 0, 0, 1, 1, 0
0.00179360, 1, 0, 1, 1, 0
0.00186316, 0, 0, 1, 1, 0
0.00186346, 0, 0, 0, 1, 0
0.00186350, 0, 1, 0, 1, 0
0.00188342, 0, 0, 0, 1, 0
0.00188345, 0, 0, 1, 1, 0
0.00188357, 1, 0, 1, 1, 0
0.00188358, 0, 0, 1, 1, 0
0.00188360, 1, 0, 1, 1, 0
0.00189316, 0, 0, 1, 1, 0
0.00189346, 0, 0, 0, 1, 0
0.00189350, 0, 1, 0, 1, 0
0.00191341, 0, 0, 0, 1, 0
0.00191345, 0, 0, 1, 1, 0
0.00191359, 1, 0, 1, 1, 0
0.00192316, 0, 0, 1, 1, 0
0.00192345, 0, 0, 0, 1, 0
0.00192350, 0, 1, 0, 1, 0
0.00195342, 0, 0, 0, 1, 0
0.00195345, 0, 0, 1, 1, 0
